Age,mu_1905,mu_1906,mu_1907,mu_1908,mu_1909,mu_1910,mu_1911,mu_1912,mu_1913,mu_1914,mu_1915,mu_1916,mu_1917,mu_1918,mu_1919,mu_1920,mu_1921,mu_1922,mu_1923,mu_1924,mu_1925,mu_1926,mu_1927,mu_1928,mu_1929,mu_1930,mu_1931,mu_1932,mu_1933,mu_1934,mu_1935,mu_1936,mu_1937,mu_1938,mu_1939,mu_1940
51,0.01857372,0.018827722,0.018839484,0.01809195,0.01826089,0.016997905,0.016822219,0.016515277,0.016678292,0.017137127,0.0180617,0.016656206,0.016178471,0.018262999,0.015017837,0.013510775,0.012489868,0.012963827,0.011988056,0.01236033,0.012322761,0.011980363,0.012882804,0.012291876,0.014108926,0.012264709,0.012801712,0.012044501,0.012942388,0.012324574,0.01209256,0.012492115,0.012736618,0.011766479,0.011971606,0.014338719
52,0.019705824,0.02009839,0.020110954,0.019312479,0.019492928,0.018143956,0.017933155,0.017566786,0.017809921,0.01846004,0.019432525,0.018030953,0.017393712,0.019278377,0.016137143,0.014561463,0.013720472,0.014152206,0.01299583,0.013422127,0.013343293,0.012857883,0.013810816,0.013277265,0.015236064,0.013263953,0.013645807,0.012888582,0.013808776,0.013311753,0.013042951,0.013543115,0.013784363,0.01273668,0.013039628,0.015513976
53,0.021035504,0.021470614,0.021513782,0.020712728,0.020824003,0.019446933,0.019232671,0.018901071,0.019115349,0.019689829,0.020742067,0.019336033,0.018736373,0.020433331,0.017407732,0.015673655,0.014898581,0.015428187,0.014228405,0.014667202,0.014579749,0.013970045,0.014940726,0.014304559,0.016349069,0.014270409,0.014653568,0.013915411,0.014792856,0.014280179,0.013989045,0.014622704,0.014857797,0.013749283,0.014176018,0.016861342
54,0.022479659,0.022967149,0.023045304,0.022244188,0.022275631,0.020871282,0.020639233,0.020349081,0.020529231,0.021014211,0.022153402,0.020709832,0.020157334,0.021627274,0.018754484,0.016849576,0.016156157,0.016797157,0.015557324,0.016006752,0.015909882,0.015162842,0.016147162,0.015396167,0.017525637,0.015338017,0.015741233,0.015028915,0.01585245,0.015324341,0.01500892,0.015753236,0.015979,0.014809342,0.015377055,0.018285
55,0.023974532,0.024800788,0.024919904,0.024115219,0.024054115,0.022611977,0.022162703,0.02192158,0.022061627,0.02244139,0.023675455,0.021939184,0.021449168,0.022637528,0.019984541,0.017916119,0.017801971,0.01858274,0.01728456,0.017750437,0.017641411,0.016375016,0.017364228,0.016488693,0.018692874,0.016403422,0.017010573,0.016327999,0.017089205,0.01654294,0.016199158,0.016812545,0.017023954,0.015802053,0.016523856,0.019643373
56,0.025762307,0.026524968,0.02668969,0.025894033,0.025726492,0.024264066,0.023805673,0.023622251,0.023715388,0.023972031,0.025309217,0.023471273,0.023049054,0.02392544,0.02150495,0.019237782,0.019052304,0.019968355,0.018652835,0.019119586,0.019000447,0.01774942,0.018742776,0.017724658,0.020011807,0.017608182,0.018319338,0.017678267,0.018359203,0.017797249,0.017423855,0.018150289,0.018346471,0.017055859,0.017961093,0.021346831
57,0.027743963,0.028354143,0.02857034,0.027789588,0.027500675,0.026023244,0.025568308,0.025452392,0.025490951,0.02560431,0.027053058,0.025158575,0.024815518,0.02533094,0.023184758,0.020696142,0.020351118,0.021416548,0.020091082,0.020555261,0.020425342,0.019290178,0.020285197,0.019104461,0.021480836,0.018952063,0.019769588,0.019179346,0.019764172,0.019186159,0.018779764,0.01963665,0.019814022,0.018448668,0.019565279,0.023248272
58,0.029735126,0.030346046,0.030577665,0.029741237,0.029431734,0.027849108,0.027304096,0.027210428,0.027361827,0.027466086,0.029168047,0.027099175,0.026706392,0.027069089,0.024932449,0.022325926,0.021830858,0.023088954,0.021577482,0.022193117,0.021919122,0.020836739,0.021934768,0.020745015,0.023222614,0.020568979,0.021305153,0.020736449,0.021233209,0.020713201,0.020386603,0.021293744,0.021636991,0.020093581,0.021233231,0.025069606
59,0.031837719,0.032456728,0.032704722,0.03180918,0.031477816,0.02978352,0.029159222,0.02909167,0.029372277,0.029465507,0.031450383,0.029318598,0.028868461,0.029053053,0.026930207,0.024189856,0.02355656,0.025039473,0.0233109,0.024103191,0.023661202,0.022609144,0.023826085,0.0226285,0.025219671,0.022424995,0.022956935,0.022417089,0.022807812,0.022358903,0.02212759,0.023088912,0.023625404,0.021883333,0.023041666,0.027030386
60,0.034083626,0.034366888,0.034629732,0.033680585,0.0333294,0.031533862,0.030887411,0.030850613,0.031275092,0.031354456,0.03363594,0.031942827,0.031424896,0.031399991,0.029292077,0.026392601,0.02523929,0.026963392,0.025006023,0.025993018,0.025361547,0.024779232,0.026141404,0.024931616,0.027664905,0.024694743,0.02456678,0.024067566,0.024330189,0.023969655,0.023851874,0.025384123,0.026155528,0.024164091,0.025352445,0.029549997
61,0.036401592,0.036818622,0.037100566,0.036082468,0.035705789,0.033780055,0.033100946,0.033099133,0.033691937,0.033756009,0.036395602,0.034761793,0.034168199,0.033895453,0.031824053,0.028762065,0.027581454,0.029615161,0.027359417,0.028590444,0.027726264,0.027052814,0.028571297,0.027363395,0.030230454,0.027089559,0.026634853,0.026179052,0.026294348,0.026034018,0.026047752,0.027489972,0.028522834,0.026283461,0.02747771,0.03181875
62,0.038869981,0.039494734,0.039797582,0.038704032,0.038299457,0.036231288,0.035506454,0.035545296,0.036330785,0.036376767,0.039419696,0.037832675,0.037153985,0.036590073,0.034577354,0.031346015,0.030212423,0.032605697,0.030005465,0.031522469,0.03038344,0.029577682,0.031272599,0.030076106,0.033082321,0.029759895,0.029033978,0.028630722,0.028570656,0.028429964,0.028600031,0.029787919,0.031122191,0.028605282,0.029798619,0.034280142
